"","ID","YEAR","MONTH","DAY","VALUE.TMAX","VALUE.TMIN","VALUE.PRCP","VALUE.AWND","VALUE.FMTM","VALUE.PGTM","VALUE.WDF2","VALUE.WDF5","VALUE.WSF2","VALUE.WSF5","VALUE.WT01","VALUE.WT02","VALUE.WT05","VALUE.WT07","VALUE.WT08","VALUE.WT09","VALUE.WT13","VALUE.WT16","VALUE.WT03","VALUE.WT22","VALUE.SNOW","VALUE.WT18","VALUE.SNWD","date"
"151378","USW00093209",2010,1,1,144,33,0,7,2327,1557,90,130,22,148,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2010-01-01 12:00:00
"151379","USW00093209",2010,1,2,172,11,0,29,2359,1,90,90,89,103,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2010-01-02 12:00:00
"151380","USW00093209",2010,1,3,167,33,0,10,1,950,90,200,89,40,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,2010-01-03 12:00:00
"151381","USW00093209",2010,1,4,189,22,0,5,2137,1644,90,50,31,54,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,2010-01-04 12:00:00
"151382","USW00093209",2010,1,5,183,-6,0,7,1758,1935,140,120,36,54,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,2010-01-05 12:00:00
"151383","USW00093209",2010,1,6,189,11,0,10,1933,1445,120,100,45,58,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-01-06 12:00:00
"151384","USW00093209",2010,1,7,200,22,0,10,1757,1324,120,180,40,72,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-01-07 12:00:00
"151385","USW00093209",2010,1,8,211,33,0,5,2129,1612,140,80,36,67,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-01-08 12:00:00
"151386","USW00093209",2010,1,9,161,33,0,4,1604,2036,90,130,58,58,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-01-09 12:00:00
"151387","USW00093209",2010,1,10,200,11,0,9,2126,1507,140,230,45,58,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-01-10 12:00:00
